arxiv_id,published,title,authors,category,matched_keywords,url,abstract
2603.05545v1,2026-03-04,VarP-GP: cost-efficient Bayesian emulation of quark-gluon plasma modeling with variable statistical precision,R. Ehlers; Y. Ji; P. M. Jacobs; S. Mak,nucl-th,"jet, jet quenching",http://arxiv.org/abs/2603.05545v1,"We present VarP-GP, a new cost-efficient Bayesian emulator for expensive computational models with variable statistical precision. We focus on the interpretation of measurements of the quark-gluon plasma (QGP) generated in high-energy nuclear collisions, through comparison to numerical models using Bayesian Inference. Such inference calculations are computationally expensive and require surrogate model emulation, which is commonly implemented using Machine Learning (ML)--based Gaussian processes (GPs). Emulator training data are generated by Monte Carlo simulations whose numerical precision depends on the computational resources utilized; improved precision entails greater computational cost. This study utilizes JETSCAPE simulations of inclusive hadron and jet measurements in nuclear collisions at RHIC and the LHC. The VarP-GP emulator combines information from multiple simulation runs with varying precision across the model parameter space, taking advantage of the smoothness in that space of QCD-driven processes. Comparison to a traditional emulator approach shows a marked reduction in emulator uncertainty at fixed computational cost, indicating that knowledge of the overall contours of the parameter design space is more important for precise emulation than detailed information at a more limited number of design points. As an initial application of VarP-GP, a computationally-expensive model parameter sensitivity study of jet quenching data is reported. The VarP-GP emulator enables new multi-model and many-observable calibrations of QGP data and modeling, which would otherwise not be possible with achievable computing resources."
2603.04141v2,2026-03-04,Experimental Advances on Light Baryon Spectroscopy at BESIII Experiment,Shi Wang; Hao Liu; Shuangshi Fang; Xiongfei Wang,hep-ex,non-perturbative,http://arxiv.org/abs/2603.04141v2,"The BESIII experiment is currently the world's only electron-positron collider operating in the tau-charm physical energy region. Since starting data taking in 2009, BESIII has accumulated the world's largest data set in the center-of-mass energy range of 1.84-4.95 GeV, including approximately 10 billion $J/ψ$ events and 3 billion $ψ(3686)$ events, together with extensive data on open-charm hadron pair production near threshold regions. These unique datasets, characterized by high statistics and low background, provide unprecedented experimental conditions for studying light baryon spectroscopy. This article systematically reviews the progress made by BESIII in baryon spectroscopy, with a focus on recent breakthrough achievements, including the discovery of excited nucleon states, $Λ$ hyperon states, $Σ$ hyperon states, $Ξ$ hyperon states and $Ω^{-}$ hyperon states. These results expand the spectrum of baryon excited states and provide crucial experimental support for understanding non-perturbative QCD and resolving the ``missing baryon resonances'' problem."
2603.04039v2,2026-03-04,NNLO DGLAP splitting functions from collinear matching of TMDs,Yu Jiao Zhu,hep-ph,resummation,http://arxiv.org/abs/2603.04039v2,"We report a complete computation of next-to-next-to-leading order (NNLO) helicity and transversity Dokshitzer-Gribov-Lipatov-Altarelli-Parisi (DGLAP) splitting functions, in both space-like and time-like kinematics. These results are obtained from the next-to-next-to-next-to-leading order (N$^3$LO) twist-2 matching of polarized transverse-momentum-dependent (TMD) parton distribution and fragmentation functions, including helicity, quark transversity, and linearly polarized gluons. We compare our results with existing calculations in the literature and discuss both agreements and discrepancies. Our results provide all perturbative ingredients required for the computation of N$^3$LO differential cross sections below the resolution scale $q_{T\mathrm{cut}}$ in transverse-momentum subtraction and enable next-to-next-to-next-to-next-to-leading logarithmic (N$^4$LL) resummation of $q_T$ observables in the Sudakov region. We further determine the small-$x$ structure of the polarized matching coefficients through N$^3$LO. These fixed-order results furnish the data for future small-$x$ resummation in polarized TMD factorization, where high-energy logarithms and Sudakov logarithms become simultaneously relevant. Establishing a consistent joint treatment of polarized small-$x$ evolution and transverse-momentum resummation remains an important open direction toward uniform precision in spin-dependent phenomenology. Our results provide essential theoretical input for precision spin physics at the forthcoming Electron-Ion Collider."
2603.03779v1,2026-03-04,CFT Perspective On de-Sitter Cosmological Correlators,Sayantan Choudhury,hep-th,non-perturbative,http://arxiv.org/abs/2603.03779v1,"We investigate the principles of quantum field theory using a stiff de Sitter space. We demonstrate that a non-unitary Lagrangian on a Euclidean AdS geometry can produce the perturbative expansion of late-time correlation functions to all orders. This discovery greatly simplifies perturbative computations while also allowing us to prove fundamental features of these correlators, which are part of a Euclidean CFT. This allows us to construct an OPE expansion, limit the operator spectrum, and deduce the analytic structure of the spectral density that captures the conformal partial wave expansion of a late-time four-point function. In general, the standard CFT concept of unitarity does not apply to dimensions and OPE coefficients. Rather, the positivity of the spectral density represents the unitarity of the de Sitter theory. This assertion is non-perturbative and does not depend on the use of Euclidean AdS Lagrangians. In a scalar theory, we compute tree-level and entire one-loop-resummed exchange diagrams to demonstrate and verify these characteristics. In the spectrum density, an exchanged particle shows up as a resonant characteristic that may be helpful in experimental searches."
2603.03689v1,2026-03-04,Measurement of angular correlations inside jets induced by gluon polarization in proton-proton collisions at $\sqrt{s}$ = 13.6 TeV, CMS Collaboration,hep-ex,"jet, jet substructure, parton shower",http://arxiv.org/abs/2603.03689v1,"A study of angular correlations inside jets induced by gluon polarization is performed using proton-proton collisions at a center-of-mass energy of $\sqrt{s}$ = 13.6 TeV. The data correspond to an integrated luminosity of 34.7 fb$^{-1}$, collected in 2022 with the CMS detector at the LHC. The details of the parton shower are investigated using jets reconstructed with the anti-$k_\mathrm{T}$ algorithm and subsequently declustered with the Cambridge$-$Aachen algorithm. A novel analysis technique is developed to identify characteristic features of the jet substructure and to select intermediate gluon splittings into quark-antiquark pairs. An observable sensitive to gluon polarization in the parton shower is measured and compared with PYTHIA 8 and HERWIG 7 model predictions, with and without angular correlations induced by the gluon spin. The results are consistent with models that incorporate gluon polarization and strongly disfavor those that neglect them."
2603.03256v1,2026-03-03,Unitarity and Unitarization,Alexandre Salas-Bernárdez,hep-ph,non-perturbative,http://arxiv.org/abs/2603.03256v1,"This article reviews unitarization methods essential for extending Effective Field Theories (EFTs) beyond their perturbative limits, particularly in hadronic and electroweak (EW) sectors. Perturbative EFTs, like Chiral Perturbation Theory (ChPT), often violate unitarity bounds at higher energies, a breakdown observed in phenomena such as $ππ$ scattering resonances. To overcome this, non-perturbative techniques including the Inverse Amplitude Method (IAM), $K$-matrix formalism, and N/D approach are detailed. The IAM and the N/D methods resum perturbative series while preserving fundamental $S$-matrix principles: unitarity, analyticity, and causality, dynamically generating resonant behavior. The article emphasizes the unique role of dispersive frameworks, especially the Roy equations, which rigorously incorporate analyticity and crossing symmetry. It highlights their potential for future application in the electroweak sector, offering a powerful tool to constrain the Standard Model and interpret collider data."
2603.03244v1,2026-03-03,Probing Axions with Relativistic Jet Polarimetry,Dashon Michel Jones; Richard Anantua; Razieh Emami; Nate Lujan,astro-ph.HE,jet,http://arxiv.org/abs/2603.03244v1,"The prospect of identifying axion signals due to axion-photon coupling induced changes to the polarization has now become a reality in view of near-horizon polarimetric observations by the Event Horizon Telescope (EHT). Axion-like particles (ALPs), motivated as dark matter candidates by the strong CP problem, induce frequency-independent birefringence in linearly polarized radiation, producing observable rotations of the electric vector position angle. While previous studies have focused exclusively on axion signatures in near-horizon accretion disk emission, the relativistic jet of M87 -- extending from 10 gravitational radii to kiloparsec scales -- remains unexplored as an axion probe despite offering extended path lengths through the putative dark matter distribution. In this study, we investigate the effects of an axion cloud around the jet in M87 on the Stokes maps of relativistic jets using a stationary, axisymmetric, self-similar model for the jet and a coherent, homogeneous soliton core in M87's galactic center for the axion background. At 230 GHz, for representative couplings in range $g_{a γ} \sim 5 \times 10^{-15} - 5 \times 10^{-14} GeV^{-1}$, we find that axion masses in the $10^{-21} eV $ range produce degree-level to multi-degree EVPA rotations, in some cases exceeding typical EHT measurement uncertainties, whereas masses in the $10^{-22} eV$ range yield predominantly sub-degree rotations. We identify a suite of morphological diagnostics that together constitute a framework for distinguishing axion-induced birefringence from plasma Faraday rotation in resolved jet polarimetry."
2603.02310v2,2026-03-02,The Latent Information Geometry of Jet Classification,Rebecca Maria Kuntz; Tilman Plehn; Björn Malte Schäfer; Benedikt Schosser; Sophia Vent,hep-ph,jet,http://arxiv.org/abs/2603.02310v2,"Latent representations are an important theme in modern machine learning. Any network training with the notion of locality introduces a latent geometry which we can analyze with the help of differential geometry, specifically information geometry. We introduce the main concepts needed to analyze learned latent geometries, specifically curvature and nonmetricities, and show how they can be used for decoder and classifier geometries. We then apply our new methods to understand the physics behind binary quark-gluon classification and three-fold fat jet tagging."
2603.02312v1,2026-03-02,New results on small-x resummation for splitting functions,Marco Bonvini; Stefano Frixione; Giovanni Stagnitto,hep-ph,resummation,http://arxiv.org/abs/2603.02312v1,"We revisit the basic steps necessary to obtain next-to-leading-logarithmic accurate small-$x$ results for the DGLAP splitting functions, and their implementations within the HELL framework. We derive new analytical all-order results for the leading-logarithmic $gg$ anomalous dimension, the $qg$ and $gg$ finite Green functions, and most importantly for the $qg$ anomalous dimension, which allows us to arrive for the first time at a properly resummed $qg$ splitting kernel. We use these results as cornerstones of a new implementation of small-$x$ splitting-function resummation which is more solid and numerically better behaved with respect to those available thus far. All of these novelties are included in the upcoming 4.0 version of HELL."
2603.02300v1,2026-03-02,One-point energy correlator for deep inelastic scattering at small $x$,Zhong-Bo Kang; Robert Kao; Meijian Li; Jani Penttala,hep-ph,energy correlator,http://arxiv.org/abs/2603.02300v1,"We derive the expressions for the one-point energy correlator (OPEC) in deep inelastic scattering in the high-energy (small-$x$) limit within the Color Glass Condensate framework. The OPEC is computed as a function of the angle between the energy flow and the target proton or nucleus, enabling a systematic exploration of different momentum scales in the scattering process. Owing to the momentum sum rule, the dependence on fragmentation functions cancels, leaving the dipole amplitude as the only nonperturbative input. As a result, the OPEC provides a clean and direct probe of gluon saturation dynamics at small $x$. We present numerical results for representative kinematic configurations relevant to the future Electron--Ion Collider, demonstrating sizable nuclear suppression effects and highlighting the sensitivity of this observable to saturation phenomena."
2603.01903v1,2026-03-02,Exploring $\widetilde{R}_2$ Leptoquarks and Majorana Neutrinos via same-sign dimuons at the HL-LHC,Subham Saha; Arvind Bhaskar; Manimala Mitra,hep-ph,jet,http://arxiv.org/abs/2603.01903v1,"We study the phenomenology of scalar leptoquark (sLQ) $\widetilde{R}_2$ coupled to right-handed neutrinos (RHNs) at the High-Luminosity Large Hadron Collider (HL-LHC), focusing on signatures that depart from those targeted by conventional sLQ searches at the LHC. If sLQ is heavier than the RHN, for $\mathcal{O}(1)$ Yukawa, the decay of sLQ to RHN and jet can dominate, leading to distinctive final states that are only weakly constrained by existing analysis. We consider the same sign dimuon and multi-jet signature. This is particularly a unique and clean lepton-number violating signature, benefiting from low Standard Model backgrounds and directly sensitive to the Majorana nature of the RHN. A comprehensive analysis is performed by combining the sLQ pair and single production mechanisms at $\sqrt{s}=14~\text{TeV}$, allowing us to assess the sensitivity reach of HL-LHC over a wide range of sLQ masses and Yukawa couplings. We demonstrate that pair production dominates the sensitivity at the TeV scale, while single production becomes increasingly important for multi-TeV sLQ masses, enabling the HL-LHC to probe regions of parameter space beyond the reach of current direct and indirect constraints. Our results highlight the strong complementarity between production modes and emphasize the unique capability of the HL-LHC to test sLQ scenarios involving RHNs. The framework presented here provides a well-motivated target for future experimental searches and offers a pathway toward simultaneously probing sLQ dynamics and parameter space of a Majorana RHN."
2603.01583v1,2026-03-02,Meson spectrum and low-energy constants in large-$N$ QCD,Claudio Bonanno; Margarita García Pérez; Antonio González-Arroyo; Ken-Ichi Ishikawa; Masanori Okawa,hep-lat,non-perturbative,http://arxiv.org/abs/2603.01583v1,"We present new non-perturbative results about the meson spectrum and the low-energy constants of QCD in the 't Hooft large-$N$ limit, $N\to\infty$ with $N_{\scriptscriptstyle{\rm f}}/N\to 0$. These are obtained from lattice Monte Carlo simulations of the Twisted Eguchi-Kawai (TEK) model up to $N=841$. More precisely, we will discuss: our findings for the meson mass spectrum; the determination of the radial Regge trajectories in the $π$ and $ρ$ channels; the computation of the coefficients of the $1/N$ expansion of the chiral condensate, of the pion decay constant, and of the next-to-leading-order coupling $\bar{\ell}_4$, up to $\mathcal{O}(1/N^3)$ from the combination of TEK and standard finite-$N$ results."
2603.01577v1,2026-03-02,From strong interactions to Dark Matter: the non-perturbative QCD sphaleron rate,Claudio Bonanno,hep-lat,non-perturbative,http://arxiv.org/abs/2603.01577v1,"Acceptance plenary talk for the 2025 Kenneth G.~Wilson Award for Excellence in Lattice Field Theory: For significant contributions to the understanding of topology in QCD, QCD-like, and large-$N_c$ gauge theories, including algorithmic developments to reduce topological freezing, studies of Dirac spectral properties, and axion phenomenology."
2603.01561v2,2026-03-02,Auxiliary counterterms and their role in effective field theory,Manuel Pavon Valderrama,nucl-th,non-perturbative,http://arxiv.org/abs/2603.01561v2,"Effective field theories include contact-range interactions (or counterterms) for two reasons: representing the unknown short-range physics in a model independent manner and ensuring the cutoff independence of observables. Both are intertwined: cutoff independence alone (modulo truncation errors) already generates counterterms encoding physical information not present in the known long-range physics. Yet, there is also residual cutoff dependence, which is smaller than the uncertainties that are achievable within the effective field theory description and thus can be safely neglected in most settings. If one insists on exact cutoff independence though, new counterterms will be required, but they encode no new physical information and are thus what one could call redundant, or auxiliary, counterterms. It happens that auxiliary counterterms are still useful for solving certain inconsistencies that appear during renormalization or for improving the convergence of the effective field theory expansion. Examples of these use cases are discussed, including the interpretation of the improved actions or the relation between perturbative and non-perturbative renormalization."
2603.00844v2,2026-03-01,Covariant diffusion tensor for jet momentum broadening out of equilibrium,Isabella Danhoni; Nicki Mullins; Jorge Noronha,hep-ph,jet,http://arxiv.org/abs/2603.00844v2,"Jets are produced in the earliest stages of heavy-ion collisions, where they can interact with a medium that is not yet close to local equilibrium. Motivated by this, we generalize the usual jet transport coefficient $\hat q$ to a Lorentz-covariant diffusion tensor $\hat q^{μν}$ within a leading-order elastic (Boltzmann/Fokker--Planck) description of jet--medium interactions. The tensor formulation organizes medium effects in a frame-covariant way and reveals additional information beyond the standard scalar definition, including energy diffusion and off-diagonal components that encode correlations between energy and momentum exchange which are absent (or redundant) in equilibrium. We illustrate the formalism in (tree-level) massless $λ\varphi^4$ theory for isotropic but out-of-equilibrium states. For sufficiently large jet momentum, quantum statistical effects become subleading, so that the non-equilibrium evolution can be studied reliably in the classical (Boltzmann) limit. This allows us to solve the corresponding Boltzmann equation for the medium and determine the time dependence of $\hat q^{μν}$ as the system approaches equilibrium. We find that out-of-equilibrium corrections can either enhance or reduce jet momentum broadening, depending on the initial distribution function."
2603.00238v1,2026-02-27,An EFT approach to Color decoherence in jet quenching,Varun Vaidya,hep-ph,"jet, jet quenching",http://arxiv.org/abs/2603.00238v1,"We use the EFT developed in \cite{Mehtar-Tani:2025xxd}, to understand the interference driven phenomenon of color decoherence in inclusive jet production in a dense nuclear medium such as Nuclei or Quark Gluon Plasma. Using the factorization formula in \cite{Mehtar-Tani:2024smp,Mehtar-Tani:2025xxd}, expressed as a series of multi-sub-jet operators, we define and calculate the contribution of the two sub-jet effective operator. This explicitly reveals the emergent angular scale $θ_c$ that controls color decoherence as well an intricate renormalization group structure for the factorized functions. We show that for a jet of radius R in a medium of size L characterized by a jet quenching parameter $\hat q$, both the LPM effect and color decoherence are controlled by a single dimensionless parameter $\sqrt{\hat q L}LR$ and therefore are equally important for phenomenology. This paper shows how interference driven emergent effects can be included in a factorized framework for computing jet observables in heavy ion collisions."
2602.24282v1,2026-02-27,"Unfolding without Iterations, Adversaries, or Surrogates",Ayodele Ore; Tilman Plehn,hep-ph,"jet, jet substructure",http://arxiv.org/abs/2602.24282v1,"Correcting measurements for detector effects and constructing appropriate public data representations is a pressing problem in LHC physics. Current methods solve this inverse problem by relying on iterations, minimax optimization, or a surrogate forward mapping. We introduce Adversary-free Unfolding SanS Iteration or Emulation (AUSSIE), which dispenses with these mechanisms while remaining asymptotically correct. AUSSIE replaces the second OmniFold step with a new loss function that directly yields solutions with minimal dependence on the reference simulation. We showcase AUSSIE on various unfolding tasks, including full-phase-space jet substructure."
2602.22972v1,2026-02-26,NNLO QCD corrections to hadron production in DIS at finite transverse momentum,Liang Dong; Shen Fang; Jun Gao; Hai Tao Li; Ding Yu Shao; Yu Jiao Zhu,hep-ph,jet,http://arxiv.org/abs/2602.22972v1,"We present the first complete calculation of hadron production in deep-inelastic scattering (DIS) at finite transverse momentum to next-to-next-to-leading order (NNLO) in perturbative QCD. To overcome the long-standing challenge of infrared divergences in semi-inclusive processes with identified final state hadrons at finite transverse momentum, we implement the recently developed $q_T$-subtraction framework based on the recoil-free jet definition. By utilizing the winner-take-all recombination scheme, we achieve a consistent factorization for hadron-jet associated production, enabling the inclusion of $\mathcal{O}(α_s^3)$ corrections. Our results demonstrate a significantly improved stabilization of the perturbative expansion and a reduction in scale uncertainties compared to previous next-to-leading order predictions. We find that the NNLO corrections are essential for a robust description of high precision multiplicity data from the ZEUS collaborations. This work provides a high precision theoretical foundation for the upcoming Electron-Ion Collider era and establishes a new benchmark for the exploration of the nucleon's three-dimensional structure."
2602.22889v1,2026-02-26,Measurement of the charged-particle-jet transverse-momentum fraction carried by prompt and non-prompt J/$ψ$ mesons in pp collisions at $\sqrt{s}=13$ TeV, ALICE Collaboration,hep-ex,jet,http://arxiv.org/abs/2602.22889v1,"The measurement of the transverse-momentum fraction ($z^{\rm ch}$) carried by prompt and non-prompt J/$ψ$ in charged-particle jets in proton--proton collisions with a center-of-mass energy $\sqrt{s}= 13$ TeV is reported by the ALICE Collaboration at the CERN Large Hadron Collider. The measurement is based on a Transition Radiation Detector triggered data sample corresponding to an integrated luminosity of $\mathcal{L} = 1.63\pm0.03$ pb$^{-1}$. Inclusive J/$ψ$ mesons with transverse momentum ($p_{\rm T}$) above 1 GeV/$c$ are reconstructed at midrapidity through the electron--positron decay channel. The prompt and non-prompt J/$ψ$ contributions are separated using the secondary vertices from beauty-hadron decays. Jets are reconstructed from J/$ψ$-meson candidates and charged particles using the anti-$k_{\rm T}$ algorithm with jet resolution parameter $R = 0.4$ in the pseudorapidity range $|η_{\text{jet}}| < 0.5$. The distribution of the charged-particle jet $p_{\rm T}$ fraction carried by the prompt and non-prompt J/$ψ$ mesons, $z^{\rm ch}$, is measured in the range $0.3 < z^{\rm ch} \leq 1.0$ for the jet-$ p_{\rm T}$ range $7 < p_{\rm T}^{\rm jet} < 15$ GeV/$c$. The measured $z^{\rm ch}$ distributions for prompt and non-prompt J/$ψ$ are compared to pQCD calculations and PYTHIA 8 simulations. Prompt and non-prompt J/$ψ$ production within charged-particle jets are found to be qualitatively well reproduced by PYTHIA 8 for $z^{\rm ch}<0.9$, however, as $z^{\rm ch}$ approaches one, the simulations overshoot the measured data, indicating an overestimation of the fraction of isolated J/$ψ$. This observed tension between data and simulations in the highest $z^{\rm ch}$ bins reflects the challenge of simulating hadronization of low-momentum jets."
2602.22690v1,2026-02-26,Space-time regions of high baryon density and baryon stopping in heavy-ion collisions,Yuri B. Ivanov,nucl-th,jet,http://arxiv.org/abs/2602.22690v1,"Four-volumes ($V_4=$ spatial-3-volume$\times$lifetime) are calculated within the model of three-fluid dynamics (3FD) and compared with those of the the JET AA Microscopic Transport Model (JAM). The calculations are performed for central Au+Au collisions at energies $\sqrt{s_{NN}}=$ 3 -- 19.6 GeV. These $V_4$ indicate optimal collision-energy ranges for realizing macroscopic high baryon-density matter. It is found that the 3FD four-volumes noticeably exceed those in the JAM, which indicates a stronger baryon stopping in the 3FD model as compared to that JAM. It is argued that this difference in the baryon stopping correlates with stiffness of the EoS implemented in these models. Contrary to JAM, the four-volume, where a baryon density ($n_B$) exceeds three times the normal nuclear density ($n_0$), does not exhibit a maximum as a function of $\sqrt{s_{NN}}$. It decreases monotonically with increasing $\sqrt{s_{NN}}$, remaining at a fairly macroscopic level (i.e. $V_4\geq 5.5^4$ fm$^4$/c). For higher baryon densities, $V_4$ exhibits maxima in its dependence on $\sqrt{s_{NN}}$. The optimal energy range for densities $n_B/n_0>$ 4 is located at $\sqrt{s_{NN}}=$ 3.2--8 GeV. Even for $n_B/n_0>$ 6, the four-volume remains quite macroscopic ($V_4\geq 4^4$ fm$^4$/c) at $\sqrt{s_{NN}}=$ 4.5--9 GeV contrary to the JAM."
2602.22686v1,2026-02-26,Statistical properties of non-flow correlations in pp and heavy-ion collisions at RHIC energies,Satya Ranjan Nayak; Akash Das; B. K. Singh,nucl-th,jet,http://arxiv.org/abs/2602.22686v1,"In this work, we have studied the two-particle cumulant in pp, d-Au, and Au-Au collisions. The two-particle cumulant was treated as an event-by-event distribution, and its skewness and kurtosis were analyzed. The non-flow correlations, like jets and decays, constantly produced a skewed distribution, regardless of the model used. On the contrary, HYDJET++ produced a smooth Gaussian distribution at higher $η$ windows in fixed impact parameter collisions. The skewness increased consistently for higher $η$ windows in all non-QGP models like PYTHIA, PHOJET, QGSJET, and DPMJET. The kurtosis of the distribution also increased with $η$ windows in non-QGP models. The skewness and kurtosis of the distributions produced by HYDJET++ decreased with $Δη$ and eventually reached zero at higher $Δη$."
2602.22355v1,2026-02-25,Flavorful Lepton Number Violation at the EIC,Sebastián Urrutia Quiroga; Vincenzo Cirigliano; Wouter Dekens; Kaori Fuyuto; Emanuele Mereghetti,hep-ph,jet,http://arxiv.org/abs/2602.22355v1,"We explore the prospects of detecting flavorful lepton number violation at the Electron-Ion Collider (EIC) through resonant production of heavy neutral leptons (HNLs), resulting in $e^- p \to \ell^+_α+ k\, j+X$, where $α\in \{e, μ, τ\}$ and $k$ denotes the number of jets. We work in the $ν$SMEFT framework of the Standard Model Effective Field Theory augmented with $n$ singlet HNLs, one of which is in the mass range $10-100$~GeV, within kinematic reach of the EIC. To explore the EIC sensitivity, we focus on the HNL production mechanism induced by mixing with light neutrinos. We study kinematic distributions for signal and backgrounds, including hadronization and detector effects, and suggest a set of cuts to minimize backgrounds. In the mass range considered, we find that the EIC with muon detection capabilities and an integrated luminosity of $100~\mathrm{fb}^{-1}$ can reach sensitivities comparable to the strongest direct (LHC) and indirect constraints, and is especially relevant in the $ν$SMEFT framework beyond dimension four. Our study motivates further assessment of muon detection capabilities at the EIC and $τ$ hadronic reconstruction, as well as a more general theoretical analysis involving production mechanisms mediated by higher-dimensional operators in the effective theory."
2602.22338v2,2026-02-25,Fluctuation-Dissipation Relation for Hard Partons in a Gluonic Plasma,Amit Kumar; Abhijit Majumder; Ismail Soudi; Johannes Heinrich Weber,hep-ph,"jet, non-perturbative",http://arxiv.org/abs/2602.22338v2,"We derive a fluctuation dissipation relation connecting the drag and diffusion jet transport coefficients for an energetic light quark traversing a non-perturbative thermalized gluon plasma. The hard quark is taken to be close to on-shell, with an energy scale parametrically larger than the medium temperature. We introduce a general complex-valued function for each transport coefficient. Evaluating these in the deep Euclidean momentum region enables their expression in terms of local operators. Using contour-integration techniques, we relate these local operators, after vacuum subtraction, to the physical transport coefficients that arise along a branch cut, close to light-like dispersion. The derived relation relates the longitudinal drag coefficient to the longitudinal and transverse diffusion coefficients, and the thermal gluon condensate."
2602.22324v1,2026-02-25,Robust Calibration of Non-Perturbative Models with History Matching,Andrew Iskauskas; Max Knobbe; Frank Krauss; Steffen Schumann,hep-ph,non-perturbative,http://arxiv.org/abs/2602.22324v1,"We apply, for the first time, Bayes Linear Emulation and History Matching to the calibration of non-perturbative models in Monte Carlo event generators. In contrast to the usual approach of ""Monte Carlo tuning"", History Matching does not result in best-fit plus ellipsoidal parameter uncertainty estimates but instead identifies all parameter space regions that are consistent with data. This approach leads to a systematic and robust quantification of parametric uncertainties in the models, especially in those challenging cases where different, possibly disjoint, regions of parameter space deliver similar results, which are usually not properly treated with current methodology. We highlight the power of this method with the hadronisation models available through Sherpa: the built-in cluster fragmentation Ahadic and string fragmentation through an interface to Pythia."
2602.22128v2,2026-02-25,Measurement of the near-threshold J$/ψ$ photoproduction cross section with the CLAS12 experiment,P. Chatagnon; V. Kubarovsky; R. Paremuzyan; S. Stepanyan; M. Tenorio; R. Tyson; A. G. Acar; P. Achenbach; J. S. Alvarado; M. J. Amaryan; W. R. Armstrong; H. Avakian; N. A. Baltzell; L. Barion; M. Bashkanov; M. Battaglieri; F. Benmokhtar; A. Bianconi; A. S. Biselli; S. Boiarinov; M. Bondi; F. Bossù; K. -Th. Brinkmann; W. J. Briscoe; S. Bueltmann; V. D. Burkert; T. Cao; D. S. Carman; A. Celentano; H. Chinchay; G. Ciullo; P. L. Cole; A. D'Angelo; N. Dashyan; M. Defurne; R. De Vita; A. Deur; S. Diehl; C. Dilks; C. Djalali; M. Dugger; R. Dupré; H. Egiyan; M. Ehrhart; A. El Alaoui; L. El Fassi; L. Elouadrhiri; M. Farooq; S. Fegan; R. F. Ferguson; I. P. Fernando; E. Ferrand; A. Filippi; C. Fogler; K. Gates; G. P. Gilfoyle; D. I. Glazier; R. W. Gothe; Y. Gotra; B. Gualtieri; K. Hafidi; H. Hakobyan; F. Hauenstein; T. B. Hayward; D. Heddle; M. Hoballah; M. Holtrop; C. E. Hyde; Y. Ilieva; D. G. Ireland; E. L. Isupov; H. S. Jo; K. Joo; T. Kageya; M. Kerr; A. Kim; H. T. Klest; V. Klimenko; I. Korover; A. Kripko; S. E. Kuhn; L. Lanza; S. Lee; P. Lenisa; X. Li; D. Marchand; D. Martiryan; V. Mascagna; B. McKinnon; A. Mehta; R. G. Milner; M. Mirazita; V. I. Mokeev; E. F. Molina Cardenas; C. Munoz Camacho; P. Nadel-Turonski; K. Neupane; D. Nguyen; S. Niccolai; G. Niculescu; M. Osipenko; M. Ouillon; P. Pandey; M. Paolone; L. L. Pappalardo; E. Pasyuk; C. Paudel; S. J. Paul; N. Pilleux; L. Polizzi; J. Poudel; J. W. Price; Y. Prok; A. Radic; J. Richards; M. Ripani; J. Ritman; P. Rossi; A. A. Rusova; C. Salgado; S. Schadmand; A. Schmidt; M. B. C. Scott; Y. G. Sharabian; E. V. Shirokov; S. Shrestha; E. Sidoretti; N. Sparveris; I. I. Strakovsky; S. Strauch; F. Touchte Codjo; M. Ungaro; D. W. Upton; P. S. H. Vaishnavi; S. Vallarino; C. Velasquez; L. Venturelli; H. Voskanyan; A. Vossen; E. Voutier; Y. Wang; D. P. Watts; U. Weerasinghe; X. Wei; M. H. Wood; L. Xu; Z. Xu; Z. W. Zhao; V. Ziegler; M. Zurek,hep-ex,non-perturbative,http://arxiv.org/abs/2602.22128v2,"We present measurements of the total and differential cross sections for near-threshold J/$ψ$ photoproduction obtained with the CLAS12 detector at the Thomas Jefferson National Accelerator Facility. The results are based on data collected during the Fall 2018 and Spring 2019 running periods, using electron beams with energies of 10.6 and 10.2 GeV, respectively, scattered off a liquid-hydrogen target. Near-threshold J$/ψ$ photoproduction offers a unique sensitivity to the strong interaction in the non-perturbative regime of Quantum Chromodynamics (QCD). The energy dependence of the cross section constrains the underlying J$/ψ$ production mechanisms, including multi-gluon exchange and potential baryonic excitations. Additionally, the $t$-dependence of the differential cross section can be related to the transverse spatial distribution of gluons in the proton, providing critical input for theoretical descriptions of the gluonic structure of the proton. An interpretation of the results in terms of the gluon content of the proton is presented, providing new experimental constraints on QCD-inspired models of the proton structure and the role of gluonic degrees of freedom in hadronic mass generation."
2602.22046v1,2026-02-25,Resonance-aware parton-shower matching for off-shell top-antitop production with semi-leptonic decays at electron-positron colliders,Ansgar Denner; Daniele Lombardi; Mathieu Pellen; Giovanni Pelliccioli,hep-ph,parton shower,http://arxiv.org/abs/2602.22046v1,"We present full off-shell NLO corrections in QCD obtained with the MoCaNLO code matched to parton shower. A resonance-aware matching procedure has been devised for the MC@NLO method tuned to the Catani-Seymour dipole subtraction. Specifically, we consider the off-shell production of a top-antitop pair in the semi-leptonic decay channel in electron-positron collisions and match it to the final-state QCD parton shower of PYTHIA8. Distortions of resonances' line shapes are avoided by providing the details of the resonance-cascade chain on an event-by-event basis to the parton shower and by adapting the matching accordingly through the introduction of dedicated counterterms."
